('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         447995 function calls (432797 primitive calls) in 1.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      105    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      103    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      103    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    103/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap>:659(_load_unlocked)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
       99    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
       98    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
       90    0.000    0.000    0.001    0.000 typing.py:676(__init__)
       90    0.000    0.000    0.001    0.000 typing.py:738(__init__)
    88/87    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       87    0.000    0.000    0.000    0.000 typing.py:836(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       86    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       81    0.001    0.000    0.347    0.004 {method 'read' of '_io.BufferedReader' objects}
     80/1    0.000    0.000    1.086    1.086 {built-in method builtins.exec}
       79    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       79    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
       79    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       79    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       79    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
     79/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap_external>:844(exec_module)
       79    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
       79    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       79    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       78    0.000    0.000    0.000    0.000 typing.py:466(<genexpr>)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
       72    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       70    0.000    0.000    0.000    0.000 typing.py:927(__eq__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.001    0.000 typing.py:840(copy_with)
       62    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       62    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       62    0.000    0.000    0.000    0.000 os.py:754(encode)
       62    0.000    0.000    0.000    0.000 _collections_abc.py:849(__iter__)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       58    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 re.py:270(escape)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
       50    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       45    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       45    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
    43/26    0.000    0.000    0.001    0.000 typing.py:352(__getitem__)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       42    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    40/30    0.000    0.000    0.074    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       40    0.000    0.000    0.000    0.000 typing.py:919(<genexpr>)
       38    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
       38    0.000    0.000    0.001    0.000 typing.py:831(__getitem__)
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 typing.py:202(<listcomp>)
       35    0.001    0.000    0.015    0.000 element.py:779(_find_all)
       35    0.000    0.000    0.015    0.000 element.py:1871(find_all)
       35    0.000    0.000    0.000    0.000 element.py:2011(__init__)
       35    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
       34    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       33    0.000    0.000    0.004    0.000 element.py:1846(find)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       28    0.000    0.000    0.000    0.000 __init__.py:595(__missing__)
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       27    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
       27    0.000    0.000    0.000    0.000 functools.py:478(lru_cache)
       26    0.000    0.000    0.000    0.000 typing.py:218(_deduplicate)
       26    0.000    0.000    0.000    0.000 typing.py:232(_remove_dups_flatten)
       26    0.000    0.000    0.001    0.000 typing.py:434(Union)
       25    0.000    0.000    0.001    0.000 typing.py:908(__getitem__)
       25    0.000    0.000    0.000    0.000 typing.py:932(__hash__)
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.370    0.017 {method 'readline' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       21    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       20    0.000    0.000    0.000    0.000 typing.py:573(__hash__)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       18    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       18    0.000    0.000    0.000    0.000 abc.py:105(__new__)
       17    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       17    0.000    0.000    0.000    0.000 typing.py:337(__repr__)
       17    0.000    0.000    0.001    0.000 typing.py:472(Optional)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.000    0.000    0.000    0.000 typing.py:524(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       16    0.001    0.000    0.003    0.000 enum.py:179(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       16    0.000    0.000    0.000    0.000 request.py:613(__lt__)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    15/11    0.000    0.000    0.078    0.007 {built-in method builtins.__import__}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       15    0.000    0.000    0.032    0.002 css_parser.py:308(__init__)
       15    0.000    0.000    0.000    0.000 ssl.py:965(_sslcopydoc)
       14    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       14    0.000    0.000    0.014    0.001 css_parser.py:1156(process_selectors)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
